HCD,CE,CECOM,135.102
2,4.2185,0.7244841866555825,75.5547257138857
3,4.3927,0.7544012532231781,74.61628010029658
4,4.5668999999999995,0.7843183197907738,73.46721241614821
6,4.9153,0.8441524529259653,60.047945477165854
7,5.0895,0.874069519493561,34.49654285975942
8,5.2637,0.9039865860611567,13.914027689408421
9,5.4379,0.9339036526287524,5.350724762378154
10,5.6121,0.963820719196348,2.194315186888895
11,5.7863,0.9937377857639438,0.7715962453988825
12,5.9605,1.0236548523315394,0.27867673013532107
13,6.1347,1.053571918899135,0.08760574558446327
14,6.3088999999999995,1.083488985466731,0.01706775309772197
15,6.4831,1.1134060520343267,0.0
16,6.657299999999999,1.1433231186019222,0.0
17,6.8315,1.173240185169518,0.0
19,7.1799,1.2330743183047095,0.0
20,7.3541,1.2629913848723051,0.0
21,7.5283,1.2929084514399007,0.0
22,7.7025,1.3228255180074964,0.0
23,7.8767,1.3527425845750922,0.0
24,8.050899999999999,1.3826596511426876,0.0
25,8.2251,1.4125767177102835,0.0
26,8.3993,1.4424937842778793,0.0
27,8.5735,1.472410850845475,0.0
28,8.7477,1.5023279174130708,0.0
29,8.9219,1.5322449839806667,0.0
30,9.0961,1.562162050548262,0.0
31,9.270299999999999,1.5920791171158577,0.0
32,9.4445,1.6219961836834536,0.0
33,9.6187,1.6519132502510494,0.0
34,9.7929,1.6818303168186448,0.0
35,9.967099999999999,1.7117473833862404,0.0
36,10.1413,1.7416644499538363,0.0
37,10.3155,1.7715815165214321,0.0
38,10.4897,1.8014985830890275,0.0
39,10.6639,1.8314156496566234,0.0
41,11.0123,1.8912497827918149,0.0
42,11.186499999999999,1.9211668493594103,0.0
