HCD,CE,CECOM,135.102,117.092,59.05,77.06
2,4.2185,0.7244841866555825,75.5547257138857,35.99400122075323,0.43474740465770884,27.408082771237634
3,4.3927,0.7544012532231781,74.61628010029658,34.869364940299015,0.4277249334151042,26.73090764108215
4,4.5668999999999995,0.7843183197907738,73.46721241614821,34.22228442762357,0.4853224984365427,25.902904272281436
6,4.9153,0.8441524529259653,60.047945477165854,34.93227395073866,0.71531861477592,30.46534005049707
7,5.0895,0.874069519493561,34.49654285975942,28.969968688230008,1.2190303225581354,33.41579467426609
8,5.2637,0.9039865860611567,13.914027689408421,17.785110201275913,0.909608565742772,30.72747702805704
9,5.4379,0.9339036526287524,5.350724762378154,8.868140446932973,0.27333356170905454,21.49341523962623
10,5.6121,0.963820719196348,2.194315186888895,4.64210184583303,0.038300227309463496,15.350800687412722
11,5.7863,0.9937377857639438,0.7715962453988825,2.273056727342055,0.00040750662645536493,10.56485420281454
12,5.9605,1.0236548523315394,0.27867673013532107,0.881818470482435,0.08324205801044435,7.402297615762536
13,6.1347,1.053571918899135,0.08760574558446327,0.3452523803877439,0.11054546239305307,5.854989193354669
14,6.3088999999999995,1.083488985466731,0.01706775309772197,0.2836248678423717,0.04740041011869649,4.226360089058182
15,6.4831,1.1134060520343267,0.0,0.1302080302638086,0.10866472348535787,3.225058190933287
16,6.657299999999999,1.1433231186019222,0.0,0.09921482532311904,0.20378461632645373,2.5264574502723702
17,6.8315,1.173240185169518,0.0,0.04492956421442852,0.5509598396522709,2.0453400825613937
19,7.1799,1.2330743183047095,0.0,0.0026644063922251437,0.2712414784866602,1.120977375211895
20,7.3541,1.2629913848723051,0.0,0.009357623155335351,0.5134854914972669,0.9013459666014384
21,7.5283,1.2929084514399007,0.0,0.0,0.40089662004932186,0.6772463529974897
22,7.7025,1.3228255180074964,0.0,0.0,0.5287718986449506,0.4482019425235787
23,7.8767,1.3527425845750922,0.0,0.0,0.49931407157021096,0.34207587886071766
24,8.050899999999999,1.3826596511426876,0.0,0.0,0.8007245199359402,0.2178471940740934
25,8.2251,1.4125767177102835,0.0,0.0,0.8606772513014569,0.14047247128593499
26,8.3993,1.4424937842778793,0.0,0.0,0.9302188252054989,0.10152821178351552
27,8.5735,1.472410850845475,0.0,0.0021024664598585634,0.8364153808810602,0.0971072044316454
28,8.7477,1.5023279174130708,0.0,0.0,0.6270160476861063,0.0561410629077203
29,8.9219,1.5322449839806667,0.0,0.0018494793946389847,0.38398114714297227,0.029365757520285248
30,9.0961,1.562162050548262,0.0,0.0,0.21138882609979784,0.00777809116823368
31,9.270299999999999,1.5920791171158577,0.0,0.0,0.17198814065672055,0.0073866709338392105
32,9.4445,1.6219961836834536,0.0,0.0,0.1580893223372737,0.0
33,9.6187,1.6519132502510494,0.0,0.0037430989797787866,0.1338992085466359,0.0
34,9.7929,1.6818303168186448,0.0,0.0,0.2349387624606223,0.0
35,9.967099999999999,1.7117473833862404,0.0,0.0,0.17474886605383833,0.0
36,10.1413,1.7416644499538363,0.0,0.0,0.15596443429233817,0.0
37,10.3155,1.7715815165214321,0.0,0.0,0.10412192378508561,0.0
38,10.4897,1.8014985830890275,0.0,0.0,0.09091482630369303,0.0
39,10.6639,1.8314156496566234,0.0,0.0,0.08550768946133493,0.0
41,11.0123,1.8912497827918149,0.0,0.0,0.07718314484276899,0.0
42,11.186499999999999,1.9211668493594103,0.0,0.0,0.08609528681952218,0.0
